id,menu_id,page_number,image_id,full_height,full_width,placeholder
119,12460,1,1603595,7230,5428,1
120,12460,2,1603596,5428,7230,1
121,12460,3,1603597,7230,5428,1
122,12460,4,1603598,7230,5428,1
123,12461,1,1603591,7230,5428,1
124,12461,2,1603592,7230,5428,1
125,12461,3,1603593,7230,5428,1
126,12461,4,1603594,7230,5428,1
129,12463,2,4000009170,3074,2046,1
130,12463,1,466928,3049,2004,1
131,12464,2,4000009171,3690,2888,1
132,12464,1,466930,3679,2866,1
133,12465,2,4000009172,3413,2307,1
134,12465,1,466931,3411,2291,1
135,12466,2,4000009173,3352,2312,1
136,12466,1,466932,3365,2305,1
137,12467,2,4000009174,3090,2102,1
138,12467,3,4000009175,3070,2114,1
139,12467,4,4000009176,3091,2230,1
140,12467,1,466933,3091,2213,1
141,12468,2,4000009178,2950,1921,1
142,12468,1,466935,2957,1929,1
143,12469,2,4000009180,3593,2468,1
144,12469,1,466939,3575,2485,1
145,12470,2,4000009181,3434,2305,1
146,12470,1,466940,3427,2282,1
147,12471,2,4000009182,3431,2314,1
148,12471,1,466941,3454,2305,1
149,12472,2,4000009183,3076,2111,1
150,12472,3,4000009184,3054,2108,1
151,12472,4,4000009185,3060,2225,1
152,12472,1,466942,3081,2220,1
153,12473,2,4000009187,2306,1808,1
154,12473,1,466944,2293,1807,1
155,12474,2,4000009188,2840,2008,1
156,12474,3,4000009189,2843,2054,1
157,12474,4,4000009190,2920,2064,1
158,12474,5,4000009191,2852,2112,1
159,12474,6,4000009192,2874,2059,1
160,12474,7,4000009193,2870,2081,1
161,12474,8,4000009194,2869,2113,1
162,12474,9,4000009195,2867,2076,1
163,12474,10,4000009196,2896,2091,1
164,12474,11,4000009197,2868,2044,1
165,12474,12,4000009198,2895,2688,1
166,12474,1,466945,2880,2407,1
167,12475,2,4000009199,3909,2481,1
168,12475,1,466946,3929,2494,1
169,12476,2,4000009200,3821,2397,1
170,12476,3,4000009201,3813,2385,1
171,12476,4,4000009202,3813,2521,1
172,12476,1,466947,3835,2520,1
173,12477,2,4000009203,3500,2299,1
174,12477,1,466948,3525,2303,1
175,12478,2,4000009203,3500,2299,1
176,12478,1,466948,3525,2303,1
177,12479,2,4000009205,3515,2195,1
178,12479,3,4000009206,3511,2190,1
179,12479,4,4000009207,3505,2311,1
180,12479,1,466950,3523,2319,1
181,12480,2,4000009208,2970,1965,1
182,12480,1,466951,2961,1930,1
183,12481,2,4000009209,2985,1966,1
184,12481,1,466952,2977,1952,1
185,12482,2,4000009210,2628,1807,1
186,12482,1,466953,2620,1807,1
187,12483,2,4000009211,3928,2480,1
188,12483,1,466954,3920,2497,1
189,12484,2,4000009212,2663,1750,1
190,12484,3,4000009213,2693,1870,1
191,12484,4,4000009214,2669,1852,1
192,12484,5,4000009215,2643,1797,1
193,12484,6,4000009216,2660,2188,1
194,12484,1,466955,2672,1950,1
195,12485,2,4000009218,2949,1971,1
196,12485,1,466957,2949,1972,1
197,12486,2,4000009223,3554,1426,1
198,12486,1,466960,3525,1402,1
199,12487,2,4000009228,3556,2389,1
200,12487,1,466963,3585,2367,1
201,12488,2,4000009229,2965,1992,1
202,12488,3,4000009230,2956,1996,1
203,12488,4,4000009231,3383,2027,1
204,12488,1,466964,3407,2076,1
