id,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count
12463,HOTEL EASTMAN,BREAKFAST,COMMERCIAL,"HOT SPRINGS, AR",CARD; 4.75X7.5;,EASTER;,,1900-2822,1900-04-15T00:00:00Z,HOTEL EASTMAN,,,COMPLETE,2,67
12464,REPUBLICAN HOUSE,DINNER,COMMERCIAL,"MILWAUKEE, WI",CARD; ILLUS; COL; 7.0X9.0;,EASTER;,"WEDGEWOOD BLUE CARD; WHITE EMBOSSED GREEK KEY BORDER; ""EASTER SUNDAY"" EMBOSSED IN WHITE; VIOLET COLORED SPRAY OF FLOWERS IN UPPER LEFT CORNER;",1900-2825,1900-04-15T00:00:00Z,REPUBLICAN HOUSE,,,UNDER REVIEW,2,34
12465,NORDDEUTSCHER LLOYD BREMEN,BREAKFAST,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,CARD; ILLU; COL; 5.5X8.0;,NONE,"MENU IN GERMAN AND ENGLISH; ILLUS, STEAMSHIP AND SAILING VESSEL;",1900-2827,1900-04-16T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,84
12466,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,CARD; ILLU; COL; 5.5X8.0;,NONE,"MENU IN GERMAN AND ENGLISH; ILLUS, HARBOR SCENE WITH SAILING VESSEL;",1900-2828,1900-04-16T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,63
12467,NORDDEUTSCHER LLOYD BREMEN,DINNER,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,FOLDER; ILLU; COL; 5.5X7.5;,NONE,"MENU IN GERMAN AND ENGLISH; ILLUS, HARBOR SCENE WITH ROCKS AND LIGHTHOUSE; STEAMSHIP AND SAILING VESSELS; CONCERT PROGRAM; DATES: ON GERMAN SIDE OF MENU ""MONTAG, DEN 16 APRIL 1900""; ON ENGLISH SIDE OF MENU ""MONDAY, APRIL 15TH, 1900"";",1900-2829,1900-04-16T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,4,33
12468,CANADIAN PACIFIC RAILWAY COMPANY,DINNER,COMMERCIAL,"R.M.S. ""EMPRESS OF CHINA""",CARD; ILLUS; COL; 4.75X7.25,NONE,"ILLUS, RED AND WHITE CHECKERED FLAG;",1900-2831,1900-04-16T00:00:00Z,CANADIAN PACIFIC RAILWAY COMPANY,,,COMPLETE,2,37
12469,HOTEL NETHERLAND,SUPPER,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; COL; 6.0X8.75;,NONE,HOTEL CREST IN BLUE; PRICED MENU;,1900-2838,1900-04-16T00:00:00Z,HOTEL NETHERLAND,Dollars,$,COMPLETE,2,144
12470,NORDDEUTSCHER LLOYD BREMEN,BREAKFAST,COMMERCIAL,SCHNELLDAMPFER KAISER WILHELM DER GROSSE;,BROADSIDE; ILLUS; COL; 5.5X8.50;,NONE,"MENU IN GERMAN AND ENGLISH; ILLUS, LIGHTHOUSE; STEAMSHIP; FISHING DORY;",1900-2839,1900-04-17T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,80
12471,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,BROADSIDE; ILLUS; COL; 5.5X8.50;,NONE,"MENU IN GERMAN AND ENGLISH; ILLUS, SAILING SHIP/SHEETS FURLED; STEAMSHIP;",1900-2840,1900-04-17T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,UNDER REVIEW,2,67
12472,NORDDEUTSCHER LLOYD BREMEN,DINNER,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,FOLDER; ILLUS; COL; 5.5X7.5;,NONE,"MENU IN GERMAN AND ENGLISH; ILLUS, HARBOR; LIGHTHOUSE; ROCKS; STEAMSHIP; SAILING SHIPS; CONCERT PROGRAM;",1900-2841,1900-04-17T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,4,29
12473,HOTEL MARLBOROUGH,CAFE LUNCHEON,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; COL; 4.25X5.5;,NONE,HOTEL CREST IN BLUE;,1900-2843,1900-04-17T00:00:00Z,HOTEL MARLBOROUGH,,,COMPLETE,2,19
12474,ALPHA OF ZETA PSI,ANNUAL BANQUET,COMMERCIAL,"DELMONICO'S, NY",BOOKLET; ILLUS; COL; 5.5X7.0;,NONE,"VELLUM COVER; CREST OF ZETA PSI; TIED WITH BLUE SATIN RIBBON; PRICED WINE LIST; ALPHA CHAPTER OFFICERS; BANQUET COMMITTEE; TOASTS; LYRICS TO ""ZETA PSI, WE PLEDGE TO-NIGHT"" , A POEM, ""THE BADGE OF ZETA PSI""; LYRICS OF ""NEATH THE ARCH OFZETA'S TEMPLE"", AND",1900-2844,1900-04-17T00:00:00Z,ALPHA OF ZETA PSI,Dollars,$,COMPLETE,12,38
12475,HOTEL MANHATTAN,DINNER,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; 6X9.5;,NONE,A LA CARTE DU JOUR; HOTEL SEAL AT TOP OF MENU;,1900-2847,1900-04-18T00:00:00Z,HOTEL MANHATTAN,Dollars,$,COMPLETE,2,176
12476,PACIFIC MAIL STEAMSHIP COMPANY,DINNE,COMMERCIAL,SS CITY OF PARA,FOLDER; ILLUS; 6 X 9.25,NONE,DECORATIVE BORDER;,1900-2849,1900-04-18T00:00:00Z,PACIFIC MAIL STEAMSHIP COMPANY,,,COMPLETE,4,21
12477,OCCIDENTAL & ORIENTAL,BREAKFAST,COMMERCIAL,SS DORIC,BROADSIDE; ILLUS; 5.5X8.5;,NONE,HANDWRITTEN; STEAMSHIP COMPANY FLAG AT TOP OF MENU;,1900-2851,1900-04-18T00:00:00Z,OCCIDENTAL & ORIENTAL,,,COMPLETE,2,24
12479,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,DINNER,COMMERCIAL,SS DORIC,FOLDER; ILLUS; 5.5X8.5;,NONE,HANDWRITTEN; MARITIME INSIGNIA ON COVER;,1900-2852,1900-04-18T00:00:00Z,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,,,COMPLETE,4,44
