mysql> SELECT * FROM MenuPageClean WHERE menu_id NOT IN (SELECT id FROM menuclean);
+-------+---------+-------------+-----------------+-------------+------------+
| id    | menu_id | page_number | image_id        | full_height | full_width |
+-------+---------+-------------+-----------------+-------------+------------+
|   119 |   12460 |           1 | 1603595         |        7230 |       5428 |
|   120 |   12460 |           2 | 1603596         |        5428 |       7230 |
|   121 |   12460 |           3 | 1603597         |        7230 |       5428 |
|   122 |   12460 |           4 | 1603598         |        7230 |       5428 |
|   123 |   12461 |           1 | 1603591         |        7230 |       5428 |
|   124 |   12461 |           2 | 1603592         |        7230 |       5428 |
|   125 |   12461 |           3 | 1603593         |        7230 |       5428 |
|   126 |   12461 |           4 | 1603594         |        7230 |       5428 |
|   127 |   12462 |           2 | 4000001128      |        NULL |       NULL |
|   128 |   12462 |           1 | 474450          |        NULL |       NULL |
|   175 |   12478 |           2 | 4000009203      |        3500 |       2299 |
|   176 |   12478 |           1 | 466948          |        3525 |       2303 |
|   401 |   12544 |           2 | 4000008940      |        2723 |       1950 |
|   402 |   12544 |           1 | 466778          |        2732 |       1965 |
|   475 |   12566 |           2 | 4000009678      |        1911 |       1330 |
|   476 |   12566 |           1 | 467218          |        1934 |       1300 |
|   488 |   12572 |           2 | 4000008655      |        2883 |       2025 |
|   489 |   12572 |           1 | 466601          |        2864 |       2418 |
|   506 |   12580 |           1 | 1603595         |        7230 |       5428 |
|   507 |   12580 |           2 | 1603596         |        5428 |       7230 |
|   508 |   12580 |           3 | 1603597         |        7230 |       5428 |
|   509 |   12580 |           4 | 1603598         |        7230 |       5428 |
|   510 |   12581 |           1 | 1603591         |        7230 |       5428 |
|   511 |   12581 |           2 | 1603592         |        7230 |       5428 |
|   512 |   12581 |           3 | 1603593         |        7230 |       5428 |
|   513 |   12581 |           4 | 1603594         |        7230 |       5428 |
|   514 |   12582 |           2 | 4000001128      |        NULL |       NULL |
|   515 |   12582 |           1 | 474450          |        NULL |       NULL |
|   516 |   12583 |           2 | 4000009170      |        3074 |       2046 |
|   517 |   12583 |           1 | 466928          |        3049 |       2004 |
|   518 |   12584 |           2 | 4000009171      |        3690 |       2888 |
|   519 |   12584 |           1 | 466930          |        3679 |       2866 |
|   520 |   12585 |           2 | 4000009172      |        3413 |       2307 |
|   521 |   12585 |           1 | 466931          |        3411 |       2291 |
|   522 |   12586 |           2 | 4000009173      |        3352 |       2312 |
|   523 |   12586 |           1 | 466932          |        3365 |       2305 |
|   524 |   12587 |           2 | 4000009174      |        3090 |       2102 |
|   525 |   12587 |           3 | 4000009175      |        3070 |       2114 |
|   526 |   12587 |           4 | 4000009176      |        3091 |       2230 |
|   527 |   12587 |           1 | 466933          |        3091 |       2213 |
|   528 |   12588 |           2 | 4000009178      |        2950 |       1921 |
|   529 |   12588 |           1 | 466935          |        2957 |       1929 |
|   530 |   12589 |           2 | 4000009180      |        3593 |       2468 |
|   531 |   12589 |           1 | 466939          |        3575 |       2485 |
|   532 |   12590 |           2 | 4000009181      |        3434 |       2305 |
|   533 |   12590 |           1 | 466940          |        3427 |       2282 |
|   534 |   12591 |           2 | 4000009182      |        3431 |       2314 |
|   535 |   12591 |           1 | 466941          |        3454 |       2305 |
|   536 |   12592 |           2 | 4000009183      |        3076 |       2111 |
|   537 |   12592 |           3 | 4000009184      |        3054 |       2108 |
|   538 |   12592 |           4 | 4000009185      |        3060 |       2225 |
|   539 |   12592 |           1 | 466942          |        3081 |       2220 |
|   540 |   12593 |           2 | 4000009187      |        2306 |       1808 |
|   541 |   12593 |           1 | 466944          |        2293 |       1807 |
|   554 |   12595 |           2 | 4000009199      |        3909 |       2481 |
|   555 |   12595 |           1 | 466946          |        3929 |       2494 |
|   556 |   12596 |           2 | 4000009200      |        3821 |       2397 |
|   557 |   12596 |           3 | 4000009201      |        3813 |       2385 |
|   558 |   12596 |           4 | 4000009202      |        3813 |       2521 |
